Student_id,Age,Gender,Academic_level,Country,Avg_Daily_Usage_hours,Most used Platform,Affects Academic Performance,Relationships,Conflict,Sleep Hours per night,Mental health Score,Addicted Score
1,18,Male,High School,Denmark,4,Linkdin,Yes,In-Relationship,Twitter,7,8,8
2,17,Female,High School,Denmark,8.8,Instagram,Yes,Complicated,LinkedIn,5,6,8
3,21,Male,Undergraduate,USA,3.4,Tik-Tok,No,Single,Facebook,4,2,6
4,18,Female,High School,Spain,9.1,Instagram,Yes,Single,Twitter,8,3,10
5,25,Female,Graduate,Czech Republic,9,Snapchat,Yes,Single,Instagram,6,2,1
6,26,Male,Graduate,Greece,7.7,WhatsApp,Yes,Single,Twitter,6,10,3
7,19,Male,Undergraduate,Turkey,6.9,Linkdin,Yes,Complicated,Instagram,4,4,8
8,20,Male,Undergraduate,Russia,7.1,Twitter,Yes,Single,Instagram,6,2,7
9,25,Male,Graduate,Argentina,7.9,WhatsApp,No,Single,Snapchat,8,6,8
10,16,Female,High School,Nigeria,3.8,Instagram,Yes,Single,Tik-Tok,7,3,7
11,15,Female,High School,Malaysia,8.8,Tik-Tok,Yes,In-Relationship,Instagram,6,2,4
12,18,Male,High School,South Korea,3.2,Snapchat,No,In-Relationship,Snapchat,6,1,6
13,25,Female,Graduate,Russia,6.2,LINE,Yes,In-Relationship,LinkedIn,4,5,4
14,24,Female,Graduate,Colombia,7,Tik-Tok,Yes,Single,Twitter,5,9,10
15,17,Female,High School,Bangladesh,8.9,WhatsApp,Yes,Single,WhatsApp,7,7,7
16,20,Male,Undergraduate,South Africa,7.9,Instagram,Yes,In-Relationship,Twitter,8,4,4
17,22,Female,Undergraduate,Australia,7.8,Instagram,Yes,Single,LinkedIn,6,10,6
18,24,Female,Graduate,Pakistan,5.6,Linkdin,Yes,In-Relationship,Twitter,8,1,1
19,25,Female,Graduate,Italy,7.9,Instagram,Yes,Single,Instagram,7,3,6
20,24,Male,Graduate,Portugal,3.8,Linkdin,No,In-Relationship,LinkedIn,7,9,9
21,22,Male,Undergraduate,Portugal,7.4,Instagram,No,In-Relationship,Snapchat,6,3,10
22,26,Female,Graduate,Malaysia,4.9,Instagram,Yes,In-Relationship,LinkedIn,5,7,6
23,18,Female,High School,UAE,4.5,Snapchat,Yes,Single,Snapchat,6,10,1
24,23,Male,Graduate,Denmark,9.3,Tik-Tok,No,Single,Twitter,5,9,1
25,17,Female,High School,Chile,6.3,Snapchat,Yes,Single,Tik-Tok,7,1,8
26,15,Male,High School,South Africa,5.5,WhatsApp,Yes,Complicated,Facebook,5,7,10
27,26,Female,Graduate,South Africa,7.8,Snapchat,Yes,Single,Instagram,8,10,4
28,16,Male,High School,Egypt,4.2,WhatsApp,Yes,Complicated,WhatsApp,6,7,2
29,16,Male,High School,Australia,8.7,Instagram,Yes,Complicated,WhatsApp,4,9,9
30,18,Male,High School,France,5,Tik-Tok,Yes,In-Relationship,Facebook,4,2,1
31,19,Male,Undergraduate,Norway,7.7,Instagram,Yes,Complicated,WhatsApp,8,7,4
32,15,Male,High School,Mexico,7,Instagram,No,Single,Snapchat,8,1,5
33,19,Male,Undergraduate,Ireland,7.1,WhatsApp,Yes,Single,Snapchat,5,8,2
34,15,Male,High School,Finland,3.5,Instagram,Yes,In-Relationship,Facebook,8,10,9
35,20,Female,Undergraduate,Vietnam,9.4,LINE,Yes,Complicated,Twitter,6,5,5
36,17,Female,High School,South Africa,6.2,Snapchat,No,Single,Twitter,7,10,8
37,17,Female,High School,Denmark,4.6,WhatsApp,No,Single,LinkedIn,8,4,10
38,25,Male,Graduate,Czech Republic,4.3,Instagram,Yes,Single,Instagram,8,7,1
39,20,Male,Undergraduate,Vietnam,3.1,Linkdin,Yes,Single,Instagram,8,3,9
40,18,Female,High School,Sweden,8.5,WhatsApp,No,Single,LinkedIn,5,10,1
41,18,Female,High School,Pakistan,7.4,Facebook,Yes,In-Relationship,Instagram,7,5,2
42,24,Female,Graduate,India,7,Twitter,No,Single,Instagram,5,10,6
43,20,Male,Undergraduate,New Zealand,7,LINE,Yes,Single,LinkedIn,5,10,6
44,24,Female,Graduate,Saudi Arabia,3.7,LINE,Yes,In-Relationship,WhatsApp,7,5,3
45,25,Female,Graduate,Israel,7.7,Snapchat,Yes,Single,Instagram,8,1,9
46,18,Male,High School,Germany,8,Instagram,Yes,Single,LinkedIn,5,5,2
47,22,Female,Undergraduate,Saudi Arabia,9.6,Tik-Tok,Yes,In-Relationship,Instagram,7,2,4
48,16,Male,High School,Switzerland,9.6,Twitter,No,Single,Snapchat,6,2,4
49,21,Male,Undergraduate,New Zealand,4.9,Linkdin,Yes,In-Relationship,Tik-Tok,7,9,7
50,23,Female,Graduate,Malaysia,4.6,Instagram,Yes,Single,Facebook,4,9,5
51,16,Male,High School,Thailand,6.3,Instagram,Yes,Single,Instagram,8,7,8
52,21,Male,Undergraduate,Singapore,6.7,Tik-Tok,No,Complicated,WhatsApp,7,10,1
53,17,Male,High School,USA,3.9,Facebook,Yes,Single,LinkedIn,8,3,7
54,16,Male,High School,Finland,7.7,Snapchat,No,Single,WhatsApp,6,5,6
55,20,Female,Undergraduate,Canada,8.9,Snapchat,Yes,Single,Snapchat,4,5,2
56,26,Female,Graduate,South Korea,8.2,Tik-Tok,Yes,Complicated,Instagram,4,8,4
57,19,Male,Undergraduate,Norway,9.8,Linkdin,Yes,Complicated,Twitter,4,4,10
58,20,Female,Undergraduate,Indonesia,7.6,Facebook,No,Single,Snapchat,8,2,8
59,24,Male,Graduate,Indonesia,5.4,Instagram,No,Single,Twitter,7,3,5
60,24,Male,Graduate,Sweden,8.4,Twitter,No,Single,Twitter,5,2,2
61,22,Male,Undergraduate,Portugal,5.8,Snapchat,Yes,Complicated,Snapchat,5,4,7
62,25,Female,Graduate,USA,8.8,Snapchat,Yes,In-Relationship,LinkedIn,4,4,9
63,23,Female,Graduate,Netherlands,4.4,LINE,Yes,Complicated,Instagram,8,10,4
64,16,Female,High School,Sweden,7.1,Instagram,Yes,Complicated,Instagram,4,2,10
65,26,Male,Graduate,South Korea,5.5,Instagram,Yes,Complicated,Snapchat,7,1,3
66,24,Male,Graduate,Sweden,6.5,Snapchat,Yes,In-Relationship,Twitter,5,4,1
67,17,Male,High School,Romania,8.8,Linkdin,No,In-Relationship,LinkedIn,7,6,3
68,25,Male,Graduate,India,4.3,Linkdin,No,Single,Instagram,8,5,10
69,23,Male,Graduate,Brazil,6.3,Snapchat,Yes,In-Relationship,Facebook,8,4,2
70,16,Male,High School,Romania,7.2,Twitter,No,Single,Instagram,6,4,1
71,23,Male,Graduate,Norway,7.6,Snapchat,No,Single,Facebook,7,8,7
72,16,Male,High School,Egypt,7.6,Facebook,Yes,In-Relationship,Facebook,7,10,6
73,25,Male,Graduate,Australia,9.2,Instagram,No,Single,Instagram,4,10,5
74,23,Female,Graduate,Australia,8.6,Twitter,No,Complicated,WhatsApp,8,3,7
75,22,Male,Undergraduate,Italy,4.8,Snapchat,Yes,In-Relationship,Instagram,5,5,10
76,26,Male,Graduate,Czech Republic,8.1,LINE,Yes,In-Relationship,Twitter,5,5,8
77,22,Male,Undergraduate,Vietnam,7.7,Snapchat,Yes,Complicated,Facebook,8,3,10
78,21,Male,Undergraduate,Russia,4.4,Facebook,Yes,Complicated,WhatsApp,4,6,7
79,24,Male,Graduate,Poland,5.2,Facebook,Yes,Single,Snapchat,6,7,2
80,22,Male,Undergraduate,Brazil,8.3,Twitter,No,Single,Instagram,7,1,5
81,17,Male,High School,Norway,3.1,Instagram,Yes,Complicated,Tik-Tok,6,2,3
82,20,Female,Undergraduate,South Korea,4.8,WhatsApp,No,Complicated,Twitter,5,3,4
83,19,Male,Undergraduate,UK,3.6,Facebook,Yes,Single,Facebook,5,3,10
84,24,Male,Graduate,India,3,Instagram,Yes,Single,Snapchat,5,7,8
85,16,Male,High School,Czech Republic,9.9,Instagram,Yes,Single,Facebook,4,9,7
86,24,Female,Graduate,Denmark,4.7,Instagram,No,Complicated,WhatsApp,5,6,3
87,25,Male,Graduate,Czech Republic,3.1,Snapchat,Yes,Complicated,LinkedIn,5,9,4
88,23,Female,Graduate,India,7.9,Tik-Tok,Yes,In-Relationship,Twitter,8,3,4
89,23,Female,Graduate,Austria,9.5,Snapchat,No,Single,LinkedIn,5,10,10
90,22,Female,Undergraduate,Belgium,6.8,Instagram,Yes,Single,LinkedIn,8,4,1
91,20,Female,Undergraduate,South Korea,3.7,Snapchat,Yes,In-Relationship,Twitter,8,9,8
92,17,Male,High School,Saudi Arabia,3.8,Instagram,No,Single,Facebook,4,5,3
93,21,Male,Undergraduate,Poland,9.6,WhatsApp,No,Single,Facebook,7,9,3
94,23,Female,Graduate,Spain,7.9,Snapchat,Yes,Complicated,WhatsApp,6,2,10
95,25,Male,Graduate,Ireland,7.3,Tik-Tok,Yes,Single,LinkedIn,8,8,3
96,20,Female,Undergraduate,Poland,9.9,Facebook,Yes,Single,Snapchat,7,9,10
97,21,Female,Undergraduate,Philippines,5.8,Tik-Tok,Yes,Single,Instagram,7,1,8
98,26,Female,Graduate,UAE,9,Instagram,Yes,Single,Tik-Tok,6,10,5
99,23,Female,Graduate,Japan,6.1,LINE,Yes,Single,LinkedIn,6,8,2
100,25,Male,Graduate,Finland,5.5,Instagram,Yes,Complicated,Tik-Tok,7,6,7
101,22,Male,Undergraduate,India,9.9,Snapchat,Yes,In-Relationship,Instagram,6,5,2
102,18,Male,High School,Egypt,6.1,WhatsApp,Yes,Complicated,Tik-Tok,6,7,2
103,21,Male,Undergraduate,Australia,8.7,WhatsApp,No,In-Relationship,Facebook,6,6,4
104,17,Male,High School,Romania,3.5,Snapchat,Yes,Complicated,Tik-Tok,8,5,4
105,26,Male,Graduate,Bangladesh,9.3,Snapchat,No,In-Relationship,LinkedIn,5,9,1
106,16,Female,High School,Brazil,3.9,Tik-Tok,No,Single,Snapchat,4,8,7
107,20,Female,Undergraduate,Austria,9.6,Facebook,Yes,Single,Twitter,6,8,2
108,16,Male,High School,Finland,4.5,Snapchat,Yes,Complicated,WhatsApp,8,7,10
109,21,Female,Undergraduate,Indonesia,5.4,Snapchat,No,Single,Twitter,6,9,2
110,26,Female,Graduate,Egypt,8.4,Twitter,No,Single,Twitter,4,6,1
111,17,Female,High School,China,8.2,Facebook,Yes,In-Relationship,Snapchat,8,7,6
112,24,Female,Graduate,Kenya,6.8,Facebook,Yes,Single,Instagram,5,6,4
113,25,Female,Graduate,UAE,5.4,WhatsApp,Yes,Single,LinkedIn,4,2,4
114,19,Female,Undergraduate,Sweden,8.8,Linkdin,Yes,Single,WhatsApp,8,6,4
115,18,Male,High School,Brazil,5.6,Twitter,No,Single,Facebook,7,5,10
116,20,Male,Undergraduate,Chile,5,Instagram,Yes,In-Relationship,Instagram,6,6,6
117,24,Male,Graduate,Germany,5.8,Facebook,Yes,Single,LinkedIn,7,5,8
118,19,Male,Undergraduate,Australia,9.1,Linkdin,No,In-Relationship,Tik-Tok,8,7,2
119,24,Male,Graduate,Canada,3.4,Instagram,Yes,In-Relationship,WhatsApp,7,5,9
120,18,Female,High School,Spain,9.1,Linkdin,Yes,Complicated,WhatsApp,7,9,9
121,23,Male,Graduate,Denmark,4,Facebook,Yes,Complicated,Instagram,7,10,3
122,23,Female,Graduate,India,6.5,Linkdin,Yes,In-Relationship,Snapchat,4,3,10
123,15,Male,High School,South Korea,9.2,Snapchat,No,Complicated,Facebook,6,6,8
124,21,Male,Undergraduate,Brazil,4.2,Snapchat,No,Single,Snapchat,7,10,7
125,24,Male,Graduate,UK,4.4,Snapchat,Yes,Single,WhatsApp,6,7,3
126,25,Female,Graduate,USA,5.9,Snapchat,Yes,In-Relationship,WhatsApp,6,7,3
127,25,Male,Graduate,China,5.5,Facebook,Yes,Complicated,Twitter,8,7,4
128,25,Male,Graduate,Switzerland,9.9,Snapchat,No,In-Relationship,LinkedIn,8,5,4
129,23,Female,Graduate,Switzerland,5.9,WhatsApp,Yes,In-Relationship,LinkedIn,4,7,9
130,22,Male,Undergraduate,Egypt,9.3,Facebook,Yes,Complicated,Facebook,6,1,1
131,20,Male,Undergraduate,Germany,4.1,Instagram,Yes,Single,LinkedIn,6,5,9
132,26,Female,Graduate,USA,8.9,Linkdin,Yes,Single,WhatsApp,5,1,4
133,22,Male,Undergraduate,Kenya,6.5,Twitter,No,In-Relationship,Snapchat,8,1,8
134,20,Female,Undergraduate,Argentina,5.4,Tik-Tok,No,Single,WhatsApp,7,1,4
135,21,Female,Undergraduate,Czech Republic,4.8,Instagram,Yes,Complicated,WhatsApp,6,10,5
136,23,Female,Graduate,Romania,7,WhatsApp,Yes,Single,Instagram,6,4,4
137,21,Male,Undergraduate,China,8.1,Instagram,Yes,Single,Twitter,4,10,1
138,23,Female,Graduate,Netherlands,8,WhatsApp,Yes,Single,Snapchat,7,5,7
139,24,Female,Graduate,Romania,7.2,Twitter,Yes,Single,Twitter,8,6,10
140,22,Female,Undergraduate,New Zealand,9.2,WhatsApp,No,Single,Instagram,6,2,2
141,16,Male,High School,Turkey,3.9,Tik-Tok,No,Single,LinkedIn,6,10,9
142,22,Male,Undergraduate,Thailand,7.4,Snapchat,Yes,Complicated,Instagram,8,1,4
143,26,Female,Graduate,New Zealand,5.6,Snapchat,Yes,Complicated,Instagram,6,2,7
144,26,Male,Graduate,Italy,4.8,Snapchat,Yes,Single,Snapchat,7,1,8
145,22,Female,Undergraduate,Switzerland,8.2,LINE,No,Complicated,Snapchat,7,5,5
146,18,Male,High School,India,4.2,WhatsApp,No,Single,LinkedIn,6,10,4
147,23,Male,Graduate,Hungary,6.3,Snapchat,Yes,Single,LinkedIn,4,9,6
148,26,Female,Graduate,Italy,8,Twitter,Yes,Single,Snapchat,5,7,1
149,26,Male,Graduate,Egypt,4.2,Tik-Tok,Yes,Single,Snapchat,5,10,6
150,24,Female,Graduate,Germany,7.7,WhatsApp,No,Complicated,Tik-Tok,8,8,10
151,20,Male,Undergraduate,India,6,Twitter,Yes,Single,Snapchat,4,4,4
152,21,Female,Undergraduate,Malaysia,5.2,Instagram,Yes,Single,LinkedIn,8,6,2
153,22,Male,Undergraduate,Turkey,8.6,Tik-Tok,Yes,Single,Instagram,8,7,8
154,21,Male,Undergraduate,Portugal,4.3,Twitter,Yes,Single,Facebook,4,1,4
155,16,Female,High School,Czech Republic,9.8,Linkdin,Yes,Single,Twitter,6,2,5
156,23,Male,Graduate,France,5.4,Twitter,Yes,Single,Instagram,8,10,9
157,21,Male,Undergraduate,Romania,3.4,Twitter,Yes,Single,Snapchat,7,9,7
158,26,Male,Graduate,Czech Republic,8.3,LINE,No,In-Relationship,Instagram,8,1,6
159,17,Female,High School,USA,5,Tik-Tok,Yes,In-Relationship,Instagram,4,9,2
160,24,Female,Graduate,Czech Republic,5,Instagram,No,Single,Instagram,7,6,2
161,23,Female,Graduate,Canada,4.2,WhatsApp,Yes,Single,LinkedIn,5,2,3
162,23,Female,Graduate,Russia,8,Snapchat,Yes,Single,Twitter,5,4,4
163,17,Male,High School,Singapore,3.9,Twitter,Yes,Single,Facebook,5,6,10
164,15,Female,High School,Italy,9.4,LINE,Yes,Single,Instagram,5,6,2
165,15,Male,High School,Colombia,6.9,Snapchat,No,Complicated,Tik-Tok,4,3,7
166,16,Male,High School,Canada,4.4,Snapchat,No,Single,WhatsApp,5,2,6
167,18,Female,High School,Romania,4.3,Instagram,Yes,In-Relationship,Snapchat,8,5,7
168,17,Male,High School,South Africa,3.8,Linkdin,No,In-Relationship,Twitter,4,7,8
169,17,Male,High School,Philippines,3.3,Instagram,Yes,Complicated,WhatsApp,6,10,10
170,16,Male,High School,South Africa,6.1,Facebook,No,Complicated,Instagram,7,1,4
171,18,Female,High School,India,6,Instagram,Yes,Single,Snapchat,5,9,2
172,18,Female,High School,Greece,9.3,WhatsApp,Yes,Complicated,LinkedIn,7,2,8
173,25,Female,Graduate,Chile,4.1,Twitter,Yes,Single,Instagram,5,7,1
174,20,Female,Undergraduate,Australia,7.8,Twitter,Yes,Complicated,Twitter,6,2,3
175,19,Female,Undergraduate,Turkey,3.5,Snapchat,Yes,Single,Twitter,5,9,1
176,25,Male,Graduate,Thailand,6.8,LINE,Yes,Single,WhatsApp,6,2,8
177,26,Female,Graduate,Brazil,6.6,Instagram,Yes,Single,WhatsApp,5,5,10
178,21,Male,Undergraduate,Finland,6.9,Snapchat,No,Single,Instagram,4,8,7
179,17,Female,High School,China,6,Linkdin,Yes,In-Relationship,Instagram,4,9,5
180,23,Male,Graduate,France,9.3,Instagram,No,In-Relationship,LinkedIn,4,3,10
181,20,Female,Undergraduate,Canada,7.9,WhatsApp,Yes,Single,Snapchat,6,6,5
182,21,Male,Undergraduate,UAE,8,Twitter,Yes,Single,WhatsApp,4,10,10
183,17,Female,High School,Belgium,4.6,Snapchat,Yes,In-Relationship,Twitter,7,3,7
184,19,Female,Undergraduate,Italy,8.3,Snapchat,Yes,Single,Instagram,4,2,8
185,19,Male,Undergraduate,Singapore,7,WhatsApp,Yes,In-Relationship,Instagram,4,7,2
186,23,Female,Graduate,Malaysia,7.2,WhatsApp,Yes,Single,Twitter,6,1,10
187,23,Female,Graduate,Spain,4.7,Snapchat,Yes,Single,WhatsApp,7,3,3
188,20,Female,Undergraduate,Hungary,8.2,LINE,Yes,Single,Twitter,8,8,9
189,19,Male,Undergraduate,South Africa,9.6,LINE,Yes,In-Relationship,Twitter,6,10,2
190,19,Female,Undergraduate,Pakistan,6.1,Facebook,No,Single,LinkedIn,7,9,8
191,15,Female,High School,Portugal,9.5,WhatsApp,No,Single,Instagram,7,2,5
192,21,Female,Undergraduate,UK,4.5,Tik-Tok,Yes,Single,Snapchat,8,9,2
193,16,Female,High School,Philippines,7.2,WhatsApp,No,Single,Facebook,4,1,7
194,17,Male,High School,Austria,3,Linkdin,No,In-Relationship,Instagram,4,6,9
195,15,Female,High School,South Africa,6.2,WhatsApp,No,Single,Instagram,4,1,10
196,15,Male,High School,Sweden,9.1,Instagram,Yes,Single,Instagram,6,2,2
197,18,Female,High School,USA,7.5,Instagram,Yes,Single,Snapchat,7,4,10
198,19,Male,Undergraduate,Russia,8,Twitter,No,Single,WhatsApp,6,4,3
199,19,Female,Undergraduate,Poland,9.6,Facebook,Yes,Single,Facebook,5,10,4
200,19,Female,Undergraduate,Israel,8.7,Linkdin,Yes,In-Relationship,Instagram,8,3,1
201,26,Female,Graduate,UAE,3.8,LINE,No,In-Relationship,Snapchat,8,1,9
202,21,Male,Undergraduate,Ireland,7.3,Linkdin,Yes,Single,Instagram,7,9,4
203,16,Male,High School,Colombia,5.6,Tik-Tok,No,In-Relationship,Twitter,7,6,4
204,15,Female,High School,Australia,4.1,WhatsApp,Yes,Complicated,WhatsApp,8,1,5
205,23,Female,Graduate,South Africa,6.7,Linkdin,No,Single,Facebook,4,7,10
206,17,Female,High School,Austria,5.9,WhatsApp,Yes,Complicated,WhatsApp,6,6,7
207,16,Male,High School,Portugal,8.3,Instagram,Yes,Complicated,Snapchat,7,6,3
208,23,Female,Graduate,South Africa,9,LINE,Yes,Complicated,Snapchat,6,2,8
209,18,Female,High School,Saudi Arabia,4.6,Snapchat,No,Single,Instagram,6,10,4
210,23,Female,Graduate,Czech Republic,8,Snapchat,Yes,Single,Snapchat,7,9,5
211,15,Female,High School,Ireland,7.8,LINE,No,In-Relationship,Facebook,6,3,4
212,21,Male,Undergraduate,Czech Republic,7.3,WhatsApp,Yes,Single,Snapchat,7,3,1
213,20,Male,Undergraduate,South Korea,9,WhatsApp,Yes,Complicated,Twitter,5,10,2
214,23,Male,Graduate,Netherlands,9.3,LINE,No,In-Relationship,WhatsApp,7,5,4
215,25,Female,Graduate,Argentina,4.4,Linkdin,No,Single,Instagram,7,6,3
216,19,Female,Undergraduate,Egypt,8.9,Snapchat,Yes,In-Relationship,Twitter,5,9,6
217,24,Male,Graduate,Italy,3,Facebook,Yes,Single,Instagram,8,5,5
218,25,Female,Graduate,Israel,7.9,Snapchat,Yes,In-Relationship,WhatsApp,4,10,3
219,18,Male,High School,Russia,8.5,Snapchat,No,In-Relationship,Instagram,6,3,4
220,16,Male,High School,Vietnam,3.2,Instagram,Yes,Complicated,WhatsApp,7,3,2
221,18,Male,High School,Netherlands,3.1,Snapchat,Yes,Single,Facebook,7,9,10
222,21,Female,Undergraduate,Finland,9.4,Snapchat,Yes,Single,Twitter,4,6,2
223,26,Female,Graduate,Brazil,6.7,WhatsApp,No,In-Relationship,Snapchat,7,7,5
224,22,Female,Undergraduate,Finland,9.9,Snapchat,Yes,Single,Tik-Tok,6,6,1
225,25,Female,Graduate,Ireland,6.9,WhatsApp,Yes,Single,Snapchat,7,7,5
226,23,Female,Graduate,Mexico,9,Tik-Tok,Yes,In-Relationship,Tik-Tok,5,4,7
227,20,Female,Undergraduate,Japan,4.9,WhatsApp,Yes,Single,WhatsApp,8,8,7
228,17,Female,High School,Canada,4.8,Linkdin,Yes,Complicated,Twitter,5,8,10
